_time,_value,CTYPE,CTYPEC,ETYPE,_field
2026-04-04 22:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 23:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 00:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 01:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 02:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 03:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 04:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 05:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 06:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 07:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 08:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 09:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 10:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 11:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 12:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 13:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 14:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 15:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 16:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 17:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 18:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 19:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 20:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 21:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 22:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-05 23:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-06 00:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-06 01:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
